id	pos	p1	ihh12
0	164	0.812	0.00583961
1	436	0.188	0.00583961
2	548	0.012	0.00601131
3	712	0.004	0.00607388
4	851	0.02	0.00609636
5	1100	0.234	0.00623901
6	1136	0.004	0.0066675
7	1322	0.2	0.00641853
8	1618	0.008	0.00651551
9	2186	0.066	0.00647429
10	2628	0.034	0.00678825
11	2797	0.202	0.00675317
12	3038	0.24	0.00682201
13	3240	0.03	0.00751478
14	3400	0.004	0.00768684
15	3504	0.062	0.00751698
16	3541	0.002	0.00775744
17	3562	0.232	0.0073253
18	4373	0.002	0.00909844
19	4686	0.02	0.00925005
20	5378	0.558	0.0093391
21	5587	0.006	0.0100494
22	6103	0.062	0.00988136
23	6154	0.008	0.0103038
24	6297	0.03	0.0101959
25	6600	0.01	0.0104435
26	7024	0.004	0.0104777
27	8202	0.806	0.00993496
28	8272	0.806	0.00993496
29	8282	0.16	0.00887046
30	8520	0.008	0.0100266
31	8723	0.024	0.0100903
32	8728	0.058	0.0102003
33	8903	0.01	0.0106146
34	9052	0.002	0.0107222
35	9423	0.038	0.0105384
36	9742	0.006	0.0105739
37	10005	0.194	0.0105159
38	10410	0.002	0.0113008
39	11036	0.016	0.0112179
40	11148	0.006	0.0113368
41	11167	0.002	0.0113738
42	11181	0.046	0.0112598
43	11932	0.012	0.0112869
44	12048	0.432	0.0102752
45	12698	0.022	0.0110369
46	12963	0.086	0.0104121
47	13024	0.002	0.0109966
48	13089	0.012	0.0109905
49	13229	0.002	0.011171
50	13286	0.038	0.0108724
51	13495	0.002	0.0113073
52	13561	0.006	0.0112838
53	13814	0.044	0.0114049
54	15073	0.02	0.0114889
55	15672	0.27	0.0108232
56	16379	0.27	0.0108232
57	17391	0.098	0.00975631
58	17414	0.254	0.00849655
59	17530	0.004	0.00855286
60	17532	0.008	0.0085214
61	17748	0.002	0.00853832
62	17750	0.292	0.0070906
63	18019	0.256	0.00760879
64	18210	0.744	0.00760879
65	18249	0.016	0.00821292
66	18421	0.028	0.00807172
67	18423	0.004	0.00869881
68	18458	0.27	0.00839128
69	18848	0.432	0.00922458
70	19435	0.004	0.00970177
71	19693	0.006	0.00970392
72	19749	0.004	0.00973458
73	19845	0.282	0.00903756
74	20043	0.022	0.0105028
75	20269	0.044	0.0104781
76	20338	0.006	0.0109025
77	20725	0.518	0.0107203
78	20744	0.518	0.0107203
79	20839	0.518	0.0107203
80	20961	0.002	0.0107075
81	21256	0.518	0.0107186
82	21361	0.518	0.0107186
83	21427	0.002	0.0112582
84	21468	0.02	0.0111524
85	21858	0.002	0.0112443
86	22361	0.018	0.0111738
87	22432	0.002	0.0112292
88	23017	0.086	0.0109117
89	23361	0.27	0.0104663
90	23647	0.002	0.0105007
91	23681	0.002	0.0104832
92	23789	0.108	0.00987683
93	23891	0.014	0.00985328
94	24246	0.272	0.00977808
95	24296	0.108	0.010178
96	24925	0.202	0.00960894
97	25218	0.002	0.00986025
98	25246	0.054	0.00975232
99	25337	0.108	0.00983211
100	25356	0.008	0.009979
101	25882	0.002	0.0100262
102	26215	0.018	0.00999353
103	26970	0.554	0.00991877
104	27009	0.202	0.00951031
105	27152	0.088	0.00924978
106	27824	0.244	0.00975091
107	27932	0.114	0.00864907
108	28017	0.798	0.00913084
109	28089	0.036	0.00924616
110	28166	0.462	0.00857268
111	28269	0.706	0.00964739
112	28331	0.006	0.00963092
113	28506	0.294	0.00980425
114	28986	0.294	0.00980425
115	29259	0.706	0.00980425
116	29496	0.294	0.00980425
117	29511	0.706	0.00980425
118	29547	0.014	0.00983212
119	29709	0.11	0.00962418
120	30045	0.092	0.00995929
121	30080	0.702	0.0100586
122	30189	0.016	0.00997181
123	30389	0.002	0.0103398
124	30548	0.014	0.0101635
125	31014	0.298	0.0102749
126	31091	0.044	0.0102574
127	31269	0.718	0.0100912
128	31440	0.002	0.0100813
129	31445	0.282	0.0100963
130	31625	0.092	0.0099987
131	31662	0.006	0.00990537
132	32083	0.718	0.0101622
133	32304	0.19	0.0101106
134	32373	0.004	0.0100787
135	32496	0.282	0.0100634
136	32498	0.04	0.00980656
137	32845	0.19	0.00985963
138	33031	0.016	0.0101579
139	33116	0.33	0.00951147
140	33432	0.23	0.00945666
141	33470	0.23	0.00945666
142	33691	0.024	0.00940677
143	33760	0.77	0.00945324
144	33769	0.23	0.00945324
145	34289	0.44	0.00773761
146	34466	0.112	0.0077856
147	34476	0.026	0.00824355
148	34824	0.11	0.00791902
149	34854	0.23	0.00791041
150	35276	0.616	0.0075924
151	35380	0.018	0.00766569
152	35474	0.066	0.00781726
153	35529	0.046	0.00760662
154	35600	0.332	0.00740381
155	35729	0.656	0.00947211
156	36069	0.656	0.00947211
157	36175	0.006	0.00945937
158	36308	0.656	0.00948914
159	36805	0.656	0.00948914
160	37127	0.062	0.0104861
161	37345	0.02	0.0111426
162	37467	0.04	0.0110922
163	37687	0.778	0.0110668
164	38714	0.002	0.0128596
165	39175	0.004	0.0128618
166	39535	0.006	0.0128448
167	39575	0.046	0.0127692
168	39704	0.036	0.0134589
169	40212	0.22	0.0125274
170	40899	0.002	0.0129937
171	41245	0.004	0.013023
172	41397	0.026	0.012666
173	41640	0.002	0.0131071
174	41741	0.022	0.0129384
175	42077	0.006	0.0130192
176	42564	0.016	0.0129838
177	43388	0.036	0.0130638
178	43838	0.006	0.0132156
179	44280	0.01	0.0132176
180	44817	0.024	0.0130518
181	44872	0.438	0.0122966
182	44970	0.114	0.0117446
183	45218	0.006	0.011913
184	45646	0.02	0.0117354
185	45654	0.006	0.0120643
186	45727	0.012	0.011818
187	46309	0.002	0.0118843
188	46592	0.438	0.0118355
189	46804	0.002	0.0132881
190	46917	0.21	0.0110234
191	47384	0.014	0.0116395
192	47704	0.026	0.0114417
193	48091	0.114	0.0116162
194	48747	0.01	0.0117992
195	48800	0.002	0.011852
196	49017	0.036	0.011664
197	50329	0.002	0.0117796
198	50663	0.002	0.011794
199	50739	0.162	0.0113087
200	51701	0.04	0.0121215
201	51709	0.014	0.0126004
202	51897	0.11	0.0115454
203	52262	0.146	0.0113156
204	52678	0.002	0.0119889
205	52803	0.014	0.0117945
