pdist	gdist	derEHH	ancEHH	EHH
-99947	-0.099949	0.127731	0.009524	0.062857
-99842	-0.099844	0.127731	0.009524	0.062857
-99086	-0.099088	0.127731	0.009524	0.062857
-98417	-0.098419	0.127731	0.009524	0.062857
-97456	-0.097458	0.127731	0.009524	0.062857
-96864	-0.096866	0.127731	0.009524	0.062857
-95542	-0.095544	0.137815	0.009524	0.067755
-94454	-0.094456	0.137815	0.009524	0.067755
-94312	-0.094314	0.137815	0.009524	0.067755
-85828	-0.085830	0.137815	0.009524	0.067755
-85291	-0.085293	0.137815	0.009524	0.067755
-85260	-0.085262	0.137815	0.009524	0.067755
-85227	-0.085229	0.157983	0.009524	0.077551
-84768	-0.084770	0.157983	0.009524	0.077551
-84735	-0.084737	0.157983	0.009524	0.077551
-82944	-0.082946	0.157983	0.009524	0.077551
-82817	-0.082819	0.157983	0.009524	0.077551
-82451	-0.082453	0.157983	0.009524	0.077551
-81959	-0.081961	0.159664	0.009524	0.078367
-81491	-0.081493	0.159664	0.009524	0.078367
-81483	-0.081485	0.159664	0.009524	0.078367
-81458	-0.081460	0.159664	0.009524	0.078367
-81445	-0.081447	0.159664	0.009524	0.078367
-80705	-0.080707	0.159664	0.009524	0.078367
-80580	-0.080582	0.159664	0.009524	0.078367
-78658	-0.078660	0.159664	0.009524	0.078367
-77608	-0.077610	0.159664	0.009524	0.078367
-77529	-0.077531	0.159664	0.009524	0.078367
-77527	-0.077529	0.159664	0.009524	0.078367
-77149	-0.077151	0.159664	0.009524	0.078367
-76759	-0.076761	0.159664	0.009524	0.078367
-76507	-0.076509	0.159664	0.009524	0.078367
-76259	-0.076261	0.159664	0.009524	0.078367
-76027	-0.076029	0.159664	0.009524	0.078367
-76022	-0.076024	0.159664	0.009524	0.078367
-75510	-0.075512	0.159664	0.009524	0.078367
-75376	-0.075378	0.159664	0.009524	0.078367
-74828	-0.074830	0.159664	0.009524	0.078367
-74166	-0.074168	0.159664	0.009524	0.078367
-73812	-0.073814	0.159664	0.009524	0.078367
-73775	-0.073777	0.159664	0.009524	0.078367
-73535	-0.073537	0.159664	0.009524	0.078367
-71088	-0.071089	0.176471	0.009524	0.086531
-70945	-0.070946	0.176471	0.009524	0.086531
-69356	-0.069357	0.176471	0.009524	0.086531
-69002	-0.069003	0.176471	0.009524	0.086531
-68246	-0.068247	0.176471	0.009524	0.086531
-68159	-0.068160	0.176471	0.009524	0.086531
-66867	-0.066868	0.176471	0.009524	0.086531
-66674	-0.066675	0.220168	0.009524	0.107755
-66189	-0.066190	0.220168	0.009524	0.107755
-65827	-0.065828	0.220168	0.009524	0.107755
-65746	-0.065747	0.220168	0.009524	0.107755
-65425	-0.065426	0.220168	0.009524	0.107755
-65055	-0.065056	0.220168	0.009524	0.107755
-64188	-0.064189	0.220168	0.009524	0.107755
-63505	-0.063506	0.396639	0.009524	0.193469
